I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-109.76,-82.967,38.54,85.905,-82.342,-31.911,0.0,0.0,0.0,0.0,0.0,0.0
-108.96,-88.945,31.772,88.009,-78.421,-38.989,0.0,0.0,0.0,0.0,0.0,0.0
-108.15,-93.985,25.934,89.761,-74.917,-44.995,0.0,0.0,0.0,0.0,0.0,0.0
-107.18,-97.4,21.553,90.791,-72.01,-49.24,0.0,0.0,0.0,0.0,0.0,0.0
-105.92,-98.779,18.917,90.798,-69.816,-51.38,0.0,0.0,0.0,0.0,0.0,0.0
-104.41,-98.091,18.105,89.699,-68.455,-51.445,0.0,0.0,0.0,0.0,0.0,0.0
-102.87,-95.764,18.897,87.741,-67.975,-49.87,0.0,0.0,0.0,0.0,0.0,0.0
-101.47,-92.63,20.624,85.406,-68.151,-47.478,0.0,0.0,0.0,0.0,0.0,0.0
-100.13,-89.67,22.245,83.189,-68.416,-45.276,0.0,0.0,0.0,0.0,0.0,0.0
-98.656,-87.62,22.823,81.394,-68.158,-44.033,0.0,0.0,0.0,0.0,0.0,0.0
-96.982,-86.717,22.051,80.117,-67.129,-43.944,0.0,0.0,0.0,0.0,0.0,0.0
-63.142,-63.962,12.308,56.568,-41.463,-38.637,,,,,,
-62.58,-63.812,11.097,56.21,-40.057,-38.783,,,,,,
-62.007,-63.551,10.022,55.787,-38.917,-38.871,,,,,,
-61.417,-63.187,9.0691,55.299,-37.97,-38.905,,,,,,
-60.8,-62.762,8.1573,54.759,-37.113,-38.908,,,,,,
-60.144,-62.379,7.1032,54.216,-36.218,-38.952,,,,,,
-59.444,-62.23,5.6089,53.775,-35.16,-39.162,,,,,,
-58.726,-62.577,3.3061,53.595,-33.887,-39.711,,,,,,
-58.052,-63.703,-0.2518,53.862,-32.443,-40.854,,,,,,
-57.521,-65.917,-5.8512,54.708,-30.917,-43.393,,,,,,
-57.228,-69.621,-6.651,56.134,-29.422,-48.536,,,,,,
-57.201,-72.761,-4.2046,57.958,-28.219,-47.673,,,,,,
-57.344,-70.398,-0.65279,59.694,-27.601,-43.717,,,,,,
-57.428,-67.224,2.4019,60.659,-27.139,-40.886,,,,,,
-57.116,-65.58,2.7709,60.868,-25.627,-40.158,,,,,,
-55.958,-67.271,-2.5105,61.123,-21.916,-43.628,,,,,,
-53.267,-78.666,-17.298,61.953,-15.34,-57.015,,,,,,
-48.172,-105.0,-43.98,71.916,-5.9807,-84.236,,,,,,
-49.783,-146.72,-83.965,98.718,5.2314,-124.93,,,,,,
-68.046,-202.06,-137.5,129.94,17.801,-177.73,,,,,,
-81.368,-266.59,-192.66,166.37,32.973,-238.04,,,,,,
-95.496,-328.59,-239.18,201.01,49.536,-292.38,,,,,,
-105.02,-369.23,-269.01,223.55,61.429,-326.32,,,,,,
-103.92,-372.08,-274.92,223.79,65.29,-329.5,,,,,,
-85.464,-323.73,-248.02,192.35,61.256,-291.34,,,,,,
-41.253,-210.4,-180.52,117.94,51.283,-200.87,,,,,,
36.123,-23.151,-68.293,-11.896,37.658,-51.331,,,,,,
144.72,236.14,87.285,-197.97,21.916,155.48,,,,,,
273.75,550.43,276.34,-419.93,2.7482,406.16,,,,,,
411.21,885.95,478.17,-656.65,-23.023,673.7,,,,,,
538.62,1192.7,661.34,-873.55,-49.308,917.99,,,,,,
632.76,1412.1,789.01,-1029.5,-68.534,1091.9,,,,,,
670.88,1492.0,830.31,-1087.3,-75.414,1154.2,,,,,,
638.13,1407.2,774.62,-1027.5,-68.273,1086.2,,,,,,
533.93,1173.3,640.25,-858.18,-57.244,904.0,,,,,,
374.05,846.05,469.52,-614.93,-57.647,655.72,,,,,,
187.38,500.95,310.28,-349.59,-75.128,403.19,,,,,,
8.2942,206.26,195.21,-113.03,-102.13,197.64,,,,,,
-131.44,2.0845,132.06,59.605,-129.56,63.946,,,,,,
-212.71,-102.72,108.66,152.61,-149.36,-0.25494,,,,,,
-236.99,-127.28,105.53,177.95,-152.93,-13.296,,,,,,
-217.45,-105.0,106.07,158.94,-140.55,-1.5088,,,,,,
-173.14,-64.298,100.18,117.86,-116.93,14.959,,,,,,
-121.09,-24.591,85.268,71.784,-88.089,25.195,,,,,,
-73.492,2.1785,63.266,33.519,-60.227,25.628,,,,,,
-37.239,12.063,37.659,10.124,-36.539,17.987,,,,,,
-18.654,6.4151,12.162,3.8482,-17.353,6.0001,,,,,,
-16.565,-22.23,-8.1857,10.423,-3.9112,-17.031,,,,,,
-12.166,-24.911,-20.334,9.7977,2.7038,-24.142,,,,,,
-6.222,-23.831,-27.685,6.1215,6.5124,-25.972,,,,,,
2.1686,-21.08,-30.207,0.13495,9.035,-26.475,,,,,,
11.354,-17.867,-28.749,-6.6915,9.0652,-26.461,,,,,,
20.003,-14.959,-24.617,-13.031,12.062,-26.338,,,,,,
27.766,-12.564,-22.503,-18.376,17.25,-26.277,,,,,,
34.429,-10.555,-22.389,-22.708,22.378,-26.265,,,,,,
39.995,-8.7241,-22.126,-26.301,26.837,-26.213,,,,,,
44.733,-6.8643,-21.897,-29.56,30.5,-26.026,,,,,,
