I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
98.523,-88.123,-44.499,-14.754,111.55,-280.71,-128.53,0.0,25.609,0.0,-1.381,0.0
79.777,-104.03,-44.535,1.8238,100.82,-287.51,-122.66,0.0,26.909,0.0,0.86659,0.0
61.223,-120.21,-45.016,18.537,90.468,-294.48,-116.95,0.0,27.534,0.0,2.6114,0.0
42.45,-137.63,-46.509,36.117,80.549,-302.28,-111.33,0.0,26.801,0.0,3.0641,0.0
22.54,-157.64,-49.434,55.645,70.765,-311.78,-105.54,0.0,24.108,0.0,1.303,0.0
0.45356,-181.37,-53.893,78.144,60.579,-323.65,-99.334,0.0,19.063,0.0,-3.4083,0.0
-24.152,-208.98,-59.703,103.83,49.688,-338.03,-92.685,0.0,11.595,0.0,-11.318,0.0
-50.249,-239.27,-66.68,131.61,38.525,-354.37,-85.982,0.0,1.9594,0.0,-22.099,0.0
-75.564,-269.95,-74.809,159.23,28.269,-371.63,-79.97,0.0,-9.3493,0.0,-34.954,0.0
-97.499,-298.36,-84.036,184.12,20.244,-388.53,-75.454,0.0,-21.702,0.0,-48.832,0.0
-114.14,-322.08,-93.849,204.08,15.196,-403.55,-72.91,0.0,-34.431,0.0,-62.671,0.0
-63.827,-304.47,-74.145,136.91,9.5245,-397.35,-52.958,,-21.02,,-44.633,
-69.404,-316.7,-75.582,149.13,3.3518,-403.05,-51.583,,-25.827,,-47.487,
-74.191,-324.75,-76.373,158.91,-1.9064,-406.17,-50.489,,-30.782,,-50.157,
-78.407,-329.05,-76.249,166.17,-6.4541,-406.79,-49.648,,-35.92,,-52.593,
-82.36,-330.26,-75.1,171.18,-10.54,-405.12,-48.925,,-41.138,,-54.785,
-86.496,-329.11,-73.121,174.21,-14.418,-401.42,-48.035,,-46.099,,-56.78,
-91.332,-326.09,-71.083,175.46,-18.267,-395.95,-46.553,,-50.173,,-58.704,
-97.348,-321.21,-71.111,175.14,-22.083,-389.21,-43.978,,-52.485,,-60.757,
