I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
9.5115,23.35,-12.696,-23.044,-20.021,6.0132,0.0,0.0,0.0,5.7459e-72,0.0,0.0
14.831,22.478,-18.745,-24.579,-14.324,2.2552,0.0,0.0,0.0,5.6547e-72,0.0,0.0
19.555,23.143,-22.661,-26.665,-9.9738,0.32962,0.0,0.0,0.0,5.5636e-72,0.0,0.0
23.442,26.521,-23.028,-29.845,-7.779,1.547,0.0,0.0,0.0,5.472599999999999e-72,0.0,0.0
26.664,33.035,-19.596,-34.484,-7.7577,6.2903,0.0,0.0,0.0,5.381599999999999e-72,0.0,0.0
29.699,42.079,-13.448,-40.537,-9.1096,13.766,0.0,0.0,0.0,5.2908e-72,0.0,0.0
33.086,52.131,-6.6447,-47.447,-10.519,22.199,0.0,0.0,0.0,5.1999e-72,0.0,0.0
37.297,61.434,-1.4149,-54.441,-10.637,29.567,0.0,0.0,0.0,5.1092e-72,0.0,0.0
42.792,68.975,0.76649,-61.101,-8.5356,34.57,0.0,0.0,0.0,5.018499999999999e-72,0.0,0.0
50.01,75.045,-0.24501,-67.722,-3.9914,37.241,0.0,0.0,0.0,4.9279e-72,0.0,0.0
59.166,80.982,-3.3295,-75.104,2.487,38.792,0.0,0.0,0.0,4.8373e-72,0.0,0.0
66.443,91.923,-1.8921,-84.342,3.1207,44.438,,,,-1.1074e-09,,
72.891,98.858,-0.91175,-91.379,4.7189,48.983,,,,-1.1074e-09,,
79.628,106.6,0.37689,-98.704,6.558,54.342,,,,-1.1074e-09,,
86.438,115.41,2.0177,-106.29,8.6473,60.608,,,,-1.1074e-09,,
93.144,125.26,4.0031,-114.1,10.909,67.433,,,,-1.1074e-09,,
99.69,135.79,6.2929,-122.15,13.243,74.227,,,,-1.1074e-09,,
106.13,146.43,8.8241,-130.41,15.593,80.588,,,,-1.1074e-09,,
112.58,156.72,11.511,-138.85,17.939,86.482,,,,-1.1074e-09,,
119.19,166.42,14.234,-147.36,20.25,92.055,,,,-1.1074e-09,,
126.07,175.55,16.868,-155.84,22.474,97.441,,,,-1.1074e-09,,
133.2,184.21,19.356,-164.12,24.555,102.73,,,,-1.1074e-09,,
140.28,192.57,21.763,-172.06,26.447,107.95,,,,-1.1074e-09,,
146.86,200.73,24.195,-179.5,28.122,113.06,,,,-1.1074e-09,,
152.54,208.69,26.665,-186.28,29.59,117.94,,,,-1.1074e-09,,
157.25,216.28,29.04,-192.25,30.894,122.43,,,,-1.1074e-09,,
161.08,223.13,31.124,-197.33,32.095,126.36,,,,-1.1074e-09,,
164.1,228.8,32.795,-201.46,33.24,129.64,,,,-1.1074e-09,,
166.26,233.01,34.036,-204.51,34.343,132.26,,,,-1.1074e-09,,
167.41,235.79,34.869,-206.4,35.388,134.26,,,,-1.1074e-09,,
167.55,237.47,35.316,-207.22,36.344,135.67,,,,-1.1074e-09,,
167.1,238.43,35.4,-207.4,37.186,136.55,,,,-1.1074e-09,,
166.77,238.84,35.161,-207.59,37.898,136.92,,,,-1.1074e-09,,
166.99,238.57,34.659,-208.16,38.462,136.78,,,,-1.1074e-09,,
167.55,237.37,33.961,-208.81,38.844,135.96,,,,-1.1074e-09,,
167.89,235.1,33.129,-208.81,38.989,134.19,,,,-1.1074e-09,,
167.36,231.79,32.209,-207.52,38.803,131.26,,,,-1.1074e-09,,
165.42,227.49,31.19,-204.51,38.138,127.33,,,,-1.1074e-09,,
161.7,222.12,29.981,-199.52,36.817,122.84,,,,-1.1074e-09,,
156.12,215.46,28.445,-192.41,34.743,118.23,,,,-1.1074e-09,,
148.77,207.11,26.483,-183.24,32.004,113.59,,,,-1.1074e-09,,
139.95,196.71,24.101,-172.36,28.874,108.72,,,,-1.1074e-09,,
130.15,184.26,21.415,-160.34,25.666,103.22,,,,-1.1074e-09,,
119.91,170.29,18.591,-147.82,22.579,96.728,,,,-1.1074e-09,,
109.72,155.66,15.769,-135.35,19.656,89.219,,,,-1.1074e-09,,
99.827,141.17,13.018,-123.32,16.845,81.039,,,,-1.1074e-09,,
90.335,127.32,10.352,-111.95,14.078,72.569,,,,-1.1074e-09,,
81.244,114.36,7.7714,-101.3,11.338,64.018,,,,-1.1074e-09,,
72.541,102.28,5.2902,-91.291,8.7156,55.479,,,,-1.1074e-09,,
64.261,90.996,2.9404,-81.785,6.3974,47.141,,,,-1.1074e-09,,
56.553,80.368,0.76447,-72.64,4.5284,39.292,,,,-1.1074e-09,,
49.646,70.18,-1.198,-63.742,3.1012,32.107,,,,-1.1074e-09,,
43.605,60.219,-2.9312,-55.003,2.0,25.661,,,,-1.1074e-09,,
38.125,50.388,-4.4513,-46.348,1.0959,19.964,,,,-1.1074e-09,,
32.707,40.855,-5.7809,-37.824,0.29198,14.919,,,,-1.1074e-09,,
26.956,31.98,-6.9121,-30.009,-0.47514,10.326,,,,-1.1074e-09,,
20.698,24.124,-7.8051,-23.791,-1.245,6.2111,,,,-1.1074e-09,,
14.021,17.51,-8.4328,-19.284,-2.0403,2.9328,,,,-1.1074e-09,,
7.4824,12.088,-8.8249,-15.677,-2.8696,0.60248,,,,-1.1074e-09,,
2.079,7.3181,-9.0694,-11.904,-3.7277,-1.0355,,,,-1.1074e-09,,
-1.5907,2.8635,-9.2746,-7.3794,-4.5967,-2.305,,,,-1.1074e-09,,
-3.7963,-0.78431,-9.5265,-2.6549,-5.4482,-3.4602,,,,-1.1074e-09,,
-5.1406,-3.3572,-9.8628,1.1311,-6.2494,-4.6564,,,,-1.1074e-09,,
-6.0904,-5.2893,-10.27,3.632,-6.9728,-5.9536,,,,-1.1074e-09,,
-6.8997,-7.0151,-10.702,5.2705,-7.6025,-7.3435,,,,-1.1074e-09,,
-7.6791,-8.7195,-11.104,6.5243,-8.1345,-8.7944,,,,-1.1074e-09,,
-8.4695,-10.447,-11.442,7.6754,-8.5696,-10.298,,,,-1.1074e-09,,
-9.2889,-12.185,-11.707,8.8522,-8.9067,-11.872,,,,2.2569e-09,,
-10.152,-13.859,-11.917,10.083,-9.1459,-13.479,,,,3.8189e-09,,
-11.071,-15.323,-12.128,11.302,-9.2959,-14.968,,,,5.3502e-09,,
-12.051,-16.509,-12.439,12.368,-9.3786,-16.243,,,,6.8727e-09,,
-13.076,-17.564,-12.934,13.191,-9.424,-17.459,,,,8.3942e-09,,
-14.097,-18.752,-13.635,13.841,-9.459,-18.849,,,,1.177e-08,,
-15.039,-20.203,-14.498,14.461,-9.4996,-20.473,,,,1.3276e-08,,
-15.831,-21.803,-15.441,15.101,-9.5505,-22.171,,,,1.4766e-08,,
-16.429,-23.348,-16.342,15.711,-9.6097,-23.755,,,,1.6232e-08,,
-16.836,-24.725,-17.063,16.243,-9.6706,-25.147,,,,1.7675e-08,,
-17.092,-25.915,-17.501,16.706,-9.7226,-26.328,,,,1.9093e-08,,
-17.259,-26.917,-17.608,17.145,-9.7552,-27.24,,,,2.0489e-08,,
-17.403,-27.689,-17.369,17.586,-9.7683,-27.713,,,,2.2814e-08,,
-17.575,-28.116,-16.772,18.008,-9.7813,-27.516,,,,2.761e-08,,
-17.814,-28.092,-15.845,18.361,-9.8304,-26.544,,,,3.078e-08,,
-18.15,-27.646,-14.708,18.603,-9.9511,-24.95,,,,3.4067e-08,,
-18.605,-26.995,-13.569,18.75,-10.159,-23.098,,,,3.5357e-08,,
-19.17,-26.445,-12.641,18.876,-10.442,-21.399,,,,3.6627e-08,,
-19.798,-26.207,-12.074,19.059,-10.766,-20.137,,,,3.7879e-08,,
-20.4,-26.274,-11.894,19.303,-11.092,-19.377,,,,3.9111e-08,,
-20.876,-26.442,-11.997,19.518,-11.391,-18.973,,,,4.0323e-08,,
-21.148,-26.44,-12.187,19.577,-11.652,-18.694,,,,4.1517e-08,,
-21.185,-26.085,-12.285,19.404,-11.874,-18.36,,,,4.3085e-08,,
-21.012,-25.344,-12.209,18.995,-12.05,-17.925,,,,4.424e-08,,
-20.692,-24.294,-11.965,18.42,-12.161,-17.419,,,,4.5377e-08,,
-20.3,-23.052,-11.599,17.778,-12.18,-16.838,,,,4.6496e-08,,
-19.894,-21.742,-11.181,17.152,-12.085,-16.154,,,,4.7596e-08,,
-19.512,-20.495,-10.798,16.599,-11.88,-15.419,,,,4.8679e-08,,
-19.168,-19.423,-10.523,16.149,-11.601,-14.765,,,,4.9743e-08,,
-18.865,-18.558,-10.373,15.797,-11.303,-14.296,,,,5.079e-08,,
-18.606,-17.838,-10.291,15.508,-11.043,-13.982,,,,5.1819e-08,,
-18.39,-17.139,-10.166,15.229,-10.87,-13.654,,,,5.283e-08,,
-18.204,-16.322,-9.8736,14.903,-10.813,-13.103,,,,5.3825e-08,,
-18.015,-15.292,-9.3258,14.483,-10.871,-12.209,,,,5.4801e-08,,
-17.774,-14.033,-8.5101,13.942,-11.018,-11.0,,,,5.5761e-08,,
-17.448,-12.619,-7.4861,13.293,-11.208,-9.6124,,,,6.1691e-08,,
-17.03,-11.171,-6.3495,12.577,-11.4,-8.1985,,,,6.4887e-08,,
-16.548,-9.8068,-5.2004,11.849,-11.573,-6.8814,,,,6.646e-08,,
-16.042,-8.6187,-4.1289,11.153,-11.724,-5.7507,,,,6.8376e-08,,
-15.546,-7.6518,-3.2027,10.51,-11.857,-4.8592,,,,6.9232e-08,,
-15.083,-6.8982,-2.458,9.9236,-11.982,-4.2059,,,,7.0071e-08,,
-14.667,-6.3048,-1.8934,9.3854,-12.114,-3.7315,,,,7.0895e-08,,
